id,gender,age,recency,frequency,amount,tau,treatment_rate,treatment,y0,y1,outcome
37697,f,33,17,5,12213,1475,0.1868911474389523,0,12213,13688,12046
37698,m,18,6,2,8010,271,0.3828994782217313,0,8010,8281,8560
37699,m,30,11,5,10530,1684,0.3257293898554567,0,10530,12214,9451
37700,m,18,7,5,12673,223,0.6709320710238168,0,12673,12896,13541
37701,m,52,20,6,11921,271,0.010245970113080817,0,11921,12192,12019
37702,m,30,7,5,11302,1553,0.33136824294988243,0,11302,12855,11437
37703,f,26,18,5,11507,1064,0.5895529850782126,0,11507,12571,11400
37704,f,26,19,6,12269,904,0.5623594204329533,1,12269,13173,13186
37705,f,33,11,5,12255,1460,0.17604578247527103,0,12255,13715,10762
37706,m,26,5,6,12634,818,0.48453308178483845,0,12634,13452,12545
37707,f,19,0,4,9687,410,0.6389761663909602,1,9687,10097,11291
37708,m,35,11,1,7478,1416,0.04285607561967871,0,7478,8894,6376
37709,m,21,20,3,9901,596,0.6692555127873246,1,9901,10497,9831
37710,f,39,6,6,11975,1449,0.050517005977496456,0,11975,13424,12180
37711,m,43,17,5,13112,778,0.0469881468113344,0,13112,13890,13645
37712,m,26,8,8,13528,600,0.42686315128601987,0,13528,14128,13062
37713,m,18,16,6,13141,192,0.5820549056392301,1,13141,13333,13589
37714,m,27,17,4,9442,1326,0.4486820455487326,0,9442,10768,9215
37715,f,30,10,9,14909,442,0.15039815355062547,1,14909,15351,14690
37716,f,18,15,4,9327,328,0.5707420362472698,1,9327,9655,9834
37717,m,18,10,2,7507,239,0.313222745985824,0,7507,7746,7438
37718,f,18,6,5,11769,280,0.7344459346642743,1,11769,12049,11639
37719,f,42,0,4,10786,1424,0.0208627178473858,0,10786,12210,10121
37720,m,38,0,3,12392,1366,0.05672827390701543,0,12392,13758,11952
37721,f,18,3,7,12854,211,0.6057769477175935,0,12854,13065,12114
37722,m,40,21,5,11200,1576,0.03494012954093231,0,11200,12776,11586
37723,m,32,11,3,10414,1871,0.2814872807793225,0,10414,12285,10305
37724,m,34,11,5,11548,1731,0.16756702351691993,0,11548,13279,11578
37725,m,18,10,6,12451,238,0.6718608477782742,1,12451,12689,12212
37726,f,22,4,7,12409,506,0.6634777103237286,0,12409,12915,13224
37727,f,41,10,9,14864,423,0.0,0,14864,15287,13747
37728,m,18,3,8,13207,187,0.5817908460188532,0,13207,13394,12068
37729,m,46,13,1,7506,676,0.009726877662419895,0,7506,8182,8010
37730,m,37,1,2,9871,1950,0.07721131675401886,0,9871,11821,10604
37731,m,27,8,3,8134,1116,0.2978266685212389,1,8134,9250,9440
37732,m,20,15,3,9430,490,0.5917605635590686,1,9430,9920,10128
37733,f,38,14,4,10361,1876,0.07491759667620665,0,10361,12237,10623
37734,m,33,11,6,11271,1776,0.17928738942457803,0,11271,13047,11767
37735,m,26,10,7,12153,931,0.5388138056040129,1,12153,13084,13502
37736,f,35,18,5,11223,1833,0.13029048391060688,1,11223,13056,13165
37737,m,19,11,1,6494,210,0.22412969461481602,0,6494,6704,6574
37738,f,24,6,4,10843,908,0.6327947499030657,1,10843,11751,11573
37739,f,26,12,6,12708,800,0.4757281097133953,0,12708,13508,12850
37740,m,24,9,7,12431,677,0.5981383081941223,0,12431,13108,11944
37741,m,31,9,6,13853,784,0.20690568251831848,0,13853,14637,13622
37742,f,28,12,7,12666,987,0.4120353348757507,1,12666,13653,12746
37743,m,36,4,2,7168,1284,0.04162156655285288,0,7168,8452,7173
37744,f,33,3,4,10601,1908,0.17818087582305936,0,10601,12509,10275
37745,m,41,6,5,11866,1311,0.0,0,11866,13177,11803
37746,m,18,0,6,8756,309,0.5298324893756212,0,8756,9065,9252
37747,f,41,19,2,10034,1601,0.05693547013138475,0,10034,11635,11236
37748,f,24,21,7,12710,624,0.5730687190735805,1,12710,13334,13395
37749,f,22,11,3,8441,618,0.49411268101624817,1,8441,9059,9661
37750,f,22,4,4,9552,697,0.6474623320269373,1,9552,10249,9848
37751,f,20,14,6,12539,345,0.6960604126493887,1,12539,12884,12516
37752,m,23,13,6,12849,518,0.596028700469386,0,12849,13367,12477
37753,f,33,20,9,13827,854,0.13479649777016547,0,13827,14681,14295
37754,f,44,2,1,6251,562,0.0250409032135856,0,6251,6813,6173
37755,m,33,3,3,10091,1949,0.20308854294508188,0,10091,12040,10206
37756,m,21,2,2,8582,535,0.5202023712910993,0,8582,9117,8074
37757,m,18,8,5,11464,296,0.7416023249135888,1,11464,11760,11977
37758,f,26,3,4,10140,1211,0.5165007719318715,1,10140,11351,11319
37759,m,28,12,6,12204,1120,0.4099552562599316,0,12204,13324,11854
37760,f,22,23,6,12008,559,0.6940006744008624,1,12008,12567,13006
37761,m,28,18,8,14510,470,0.24806467554160394,0,14510,14980,13901
37762,m,27,1,4,11891,1097,0.48505665428403766,1,11891,12988,12682
37763,m,44,13,5,13238,670,0.03173772621378581,0,13238,13908,13006
37764,f,18,12,7,13560,164,0.5409881351887281,0,13560,13724,13517
37765,m,30,16,4,12452,1217,0.324267998536386,0,12452,13669,12343
37766,m,28,10,4,11652,1263,0.46846871390087674,0,11652,12915,12454
37767,m,34,8,11,15013,484,0.06587749743980982,0,15013,15497,14985
37768,m,34,8,3,11377,1780,0.1731192217915026,0,11377,13157,10833
37769,m,43,0,1,6244,622,0.016934871060185895,0,6244,6866,6660
37770,m,29,8,7,15170,356,0.14206157778279715,1,15170,15526,16467
37771,m,25,9,13,15336,218,0.2646772734666301,1,15336,15554,15197
37772,m,33,15,6,13284,1060,0.191340526813256,0,13284,14344,13791
37773,m,18,12,7,13688,155,0.5591413479467241,0,13688,13843,14166
37774,m,30,7,4,11233,1568,0.3213276410898337,1,11233,12801,12368
37775,m,33,16,4,9066,1864,0.1634321125994157,0,9066,10930,9366
37776,m,31,11,3,9063,1730,0.20762346957295671,0,9063,10793,8562
37777,f,25,2,5,11742,906,0.6057523063680825,1,11742,12648,13322
37778,f,33,6,7,13743,885,0.15909954178422336,0,13743,14628,12927
37779,m,32,6,3,9785,1888,0.23595299913928094,1,9785,11673,11165
37780,m,36,11,4,11038,1865,0.09716380353910523,1,11038,12903,12727
37781,m,35,4,6,11206,1837,0.1102737747303562,0,11206,13043,10962
37782,m,32,15,4,12481,1333,0.21282673672607455,0,12481,13814,12006
37783,m,31,12,5,11340,1632,0.32636599792616405,1,11340,12972,12927
37784,f,26,8,2,9306,1183,0.46863853758869833,0,9306,10489,9483
37785,m,35,10,4,12218,1510,0.08318474979033078,0,12218,13728,12160
37786,m,49,7,4,9814,595,0.0019322882959180057,0,9814,10409,10327
37787,m,40,11,2,9064,1637,0.03406666715046461,0,9064,10701,8484
37788,f,26,9,5,11723,1022,0.5470714830397613,1,11723,12745,13110
37789,f,19,17,4,9974,411,0.6955990183273153,1,9974,10385,11686
37790,m,33,1,4,11746,1637,0.23691702892325298,0,11746,13383,12175
37791,m,39,7,8,13296,980,0.0,0,13296,14276,12792
37792,m,27,11,11,15352,269,0.22585457905574183,0,15352,15621,15030
37793,m,28,0,2,8356,1278,0.26362914170094226,0,8356,9634,8541
37794,m,26,15,4,12740,792,0.5091434747547641,0,12740,13532,12753
37795,m,51,12,7,12445,293,0.0,0,12445,12738,12835
37796,f,32,15,9,15054,450,0.09550021366881319,0,15054,15504,15015
37797,f,37,0,4,12600,1329,0.052228256520360575,0,12600,13929,12448
37798,f,19,16,7,11639,352,0.7169404214923284,0,11639,11991,11147
37799,m,27,19,7,13041,798,0.4337588370312747,1,13041,13839,13649
37800,f,51,14,4,9894,411,0.0,0,9894,10305,9512
37801,m,29,17,9,12470,1131,0.341328476457339,0,12470,13601,12397
37802,m,37,11,7,12536,1353,0.04988214602712524,0,12536,13889,12660
37803,f,18,12,9,13115,193,0.5822618688612294,1,13115,13308,13631
37804,f,30,12,3,9422,1685,0.29827909590703927,0,9422,11107,9859
37805,f,18,28,6,11432,298,0.713028331969553,1,11432,11730,11927
37806,f,25,10,8,13500,540,0.4135064464116725,0,13500,14040,13271
37807,m,30,8,4,9743,1709,0.3169912162014639,0,9743,11452,9990
37808,m,40,7,0,4316,290,0.047222241211659716,0,4316,4606,3978
37809,m,28,19,4,11832,1219,0.4623425187496966,1,11832,13051,12914
37810,m,29,8,9,15480,296,0.16469881424668065,0,15480,15776,14452
37811,f,21,14,9,13616,285,0.5449673048660537,1,13616,13901,14038
37812,m,28,7,3,10606,1445,0.4934640128300239,0,10606,12051,9983
37813,m,37,18,3,9432,1919,0.08184061971144825,0,9432,11351,9344
37814,f,18,15,4,9819,335,0.6363314097536679,1,9819,10154,10050
37815,f,39,14,9,14857,480,0.04697913417003541,1,14857,15337,14269
37816,f,26,21,6,11919,982,0.5555468160476134,0,11919,12901,11605
37817,m,28,2,2,7552,1067,0.21792528517879434,1,7552,8619,7450
37818,m,26,22,10,15465,226,0.2392557718125848,0,15465,15691,14488
37819,f,24,19,1,6293,446,0.17896497546744405,0,6293,6739,5552
37820,f,18,17,9,13160,190,0.6106937509265105,0,13160,13350,13113
37821,m,21,11,3,10364,591,0.6990595626607168,1,10364,10955,11081
37822,f,19,17,3,9751,410,0.6372003182381316,1,9751,10161,9849
37823,m,36,12,8,14029,796,0.08776193098934788,0,14029,14825,14011
37824,m,45,13,6,11206,991,0.03167989325957498,0,11206,12197,11457
37825,m,26,26,2,7549,875,0.27993140093806257,1,7549,8424,7897
37826,m,24,7,1,7397,655,0.2510487220936247,1,7397,8052,8200
37827,m,29,5,6,12922,987,0.3180949861163298,1,12922,13909,13648
37828,m,19,10,4,10434,406,0.6939580175167751,0,10434,10840,10083
37829,m,34,4,9,14009,803,0.11833590229207973,0,14009,14812,13737
37830,m,29,6,4,10326,1590,0.3995653574418695,0,10326,11916,11008
37831,f,18,11,3,9384,329,0.6449605841411247,1,9384,9713,9598
37832,f,36,12,3,8906,1866,0.04715797567992394,1,8906,10772,10884
37833,m,18,21,4,10211,334,0.6599723706832235,1,10211,10545,10417
37834,m,28,6,6,11064,1383,0.44168858375425,0,11064,12447,11337
37835,f,26,13,5,10526,1192,0.5593939933747776,1,10526,11718,10927
37836,f,37,0,2,9093,1869,0.03808916884955237,0,9093,10962,8319
37837,m,25,15,2,9069,1031,0.467870821197493,0,9069,10100,9263
37838,m,44,13,3,10341,1203,0.021931035495659924,0,10341,11544,10144
37839,f,41,4,3,9057,1528,0.03316502259177352,0,9057,10585,8494
37840,m,29,12,3,8160,1334,0.22470081667258168,0,8160,9494,8661
37841,f,50,6,6,12386,360,0.01661954187367271,0,12386,12746,12526
37842,m,26,0,3,8000,977,0.2860857445231162,0,8000,8977,7223
37843,m,22,0,4,11266,641,0.7509137038448748,1,11266,11907,12902
37844,f,48,0,8,12811,450,0.0,0,12811,13261,13216
37845,f,38,12,6,14577,582,0.035654868871359116,0,14577,15159,13652
37846,f,39,7,1,6632,975,0.03443728881244837,0,6632,7607,7436
37847,f,38,11,4,11409,1686,0.07361699123102335,0,11409,13095,11401
37848,f,38,12,5,11156,1749,0.06161628018446913,0,11156,12905,11207
37849,m,32,9,5,11560,1644,0.24345318218281595,0,11560,13204,11112
37850,m,22,9,6,12156,540,0.6987842601013011,1,12156,12696,12975
37851,f,18,16,6,12476,237,0.6736546235106317,1,12476,12713,13077
37852,m,25,3,7,13773,483,0.4381560530234062,0,13773,14256,14263
37853,m,32,11,3,10601,1850,0.2282796010310629,0,10601,12451,10846
37854,f,41,13,10,16000,212,0.030949053338708468,0,16000,16212,16952
37855,m,26,13,3,9154,1168,0.42911154422574105,0,9154,10322,8957
37856,f,18,3,8,13612,160,0.5187841999800423,0,13612,13772,13745
37857,m,44,4,4,10664,1181,0.021156312496677203,0,10664,11845,11022
37858,m,42,2,8,14780,408,0.014665978748022336,0,14780,15188,14695
37859,m,26,4,5,11577,1051,0.5794165373443461,0,11577,12628,11256
37860,f,33,13,5,12296,1445,0.18918838595065166,0,12296,13741,12459
37861,m,26,13,5,11735,1020,0.5717384696956251,0,11735,12755,10817
37862,f,19,8,9,14390,139,0.4462551099490724,1,14390,14529,14520
37863,m,29,8,6,11628,1374,0.3876958175914088,1,11628,13002,13860
37864,m,18,3,6,10287,334,0.6709526830766405,0,10287,10621,11132
37865,f,32,17,7,14034,756,0.1489091811412059,0,14034,14790,14803
37866,m,33,0,6,13695,903,0.14197087908154402,0,13695,14598,13167
37867,f,21,18,7,12506,417,0.6908191824757945,1,12506,12923,13386
37868,m,39,18,4,11728,1526,0.0792013816863893,0,11728,13254,11667
37869,f,18,7,5,9489,331,0.6019160366473705,1,9489,9820,10844
37870,m,19,13,4,9647,409,0.6453534591533905,1,9647,10056,10321
37871,f,37,15,6,12631,1317,0.05290206920108535,0,12631,13948,13331
37872,m,34,10,6,10946,1885,0.18717925451173584,1,10946,12831,13064
37873,m,25,9,7,11478,950,0.6426305583579318,1,11478,12428,12283
37874,f,31,14,7,13256,994,0.21174078424170872,0,13256,14250,13275
37875,m,25,4,3,9112,1035,0.505818546847559,1,9112,10147,9485
37876,m,24,8,4,10227,944,0.5991184855091808,1,10227,11171,10976
37877,m,33,16,7,12805,1248,0.1601004939857248,0,12805,14053,11947
37878,f,28,13,4,9585,1465,0.380575228156916,1,9585,11050,11252
37879,f,26,10,2,8400,1057,0.3267686159052543,1,8400,9457,9274
37880,m,26,14,5,11461,1072,0.5411334859129143,0,11461,12533,11265
37881,f,54,6,4,10123,215,0.009083248754199965,0,10123,10338,10505
37882,m,37,10,5,11359,1753,0.08840907341453409,0,11359,13112,11442
37883,m,25,20,1,6911,641,0.1693401290630867,1,6911,7552,6523
37884,m,20,25,3,10080,498,0.7220673673425274,0,10080,10578,11390
37885,m,29,8,9,14197,593,0.25051232517955596,0,14197,14790,13846
37886,m,18,17,7,10654,327,0.7171254939836192,1,10654,10981,10994
37887,f,43,5,3,8971,1274,0.0059380467177092494,0,8971,10245,9034
37888,f,23,10,10,15386,161,0.2723680918728595,0,15386,15547,15680
37889,m,29,8,6,11738,1346,0.40076566140072234,0,11738,13084,11693
37890,f,39,7,9,14418,603,0.06688651833273665,1,14418,15021,14404
37891,m,45,16,4,12687,716,0.0,0,12687,13403,12860
37892,f,23,9,1,7548,593,0.32407360458499007,0,7548,8141,7780
37893,f,37,13,5,9877,1950,0.0642772960217024,0,9877,11827,9977
37894,m,50,22,6,13693,230,0.054480048174264495,0,13693,13923,13793
37895,f,18,7,2,8213,282,0.41162771850123425,0,8213,8495,8224
37896,f,22,15,5,11575,610,0.7164882718971355,0,11575,12185,11004
37897,m,33,7,2,9135,1876,0.18300405116566285,1,9135,11011,11026
37898,f,21,9,8,14071,234,0.47818881698446103,1,14071,14305,13949
37899,m,24,18,5,11293,859,0.6378692584219648,0,11293,12152,10865
37900,f,36,9,6,11211,1824,0.08947234385818274,0,11211,13035,11673
37901,m,44,10,3,10324,1204,0.0,0,10324,11528,10038
37902,m,43,12,5,10566,1321,0.019689683651445477,0,10566,11887,10053
37903,m,22,6,7,14311,247,0.4367763664385845,1,14311,14558,13911
37904,f,28,6,6,11988,1178,0.45850654260661716,0,11988,13166,12074
37905,f,19,17,9,13659,193,0.5418150411787288,0,13659,13852,13795
37906,m,46,17,7,12587,647,0.028470661308946876,0,12587,13234,12333
37907,m,34,18,4,11240,1817,0.17018235022012645,0,11240,13057,11303
37908,f,29,6,4,11191,1474,0.40813523463870766,0,11191,12665,11618
37909,m,30,13,5,11035,1609,0.34720462570266775,0,11035,12644,10875
37910,m,28,20,4,11148,1368,0.4344383755565226,1,11148,12516,12561
37911,m,25,17,5,11482,950,0.6595766381258071,0,11482,12432,11472
37912,f,27,5,3,9671,1340,0.42670834421663695,1,9671,11011,11610
37913,m,24,12,5,10689,920,0.6500285320341262,0,10689,11609,11169
37914,m,35,2,7,15298,413,0.04480782318934237,0,15298,15711,15597
37915,m,18,14,8,14093,130,0.45977730094352187,1,14093,14223,13937
37916,m,33,16,5,12394,1408,0.17301305835428954,0,12394,13802,12157
37917,f,18,13,9,14642,99,0.3973739634161796,0,14642,14741,14671
37918,m,37,7,2,9203,1888,0.038677742319741616,0,9203,11091,8460
37919,m,19,7,7,12152,316,0.6725842295778713,1,12152,12468,11019
37920,m,24,17,6,9733,944,0.5691806890197088,1,9733,10677,10932
37921,f,27,6,9,13098,782,0.41391228064630026,0,13098,13880,13204
37922,m,26,14,5,13422,625,0.46805346120476155,0,13422,14047,13534
37923,m,55,22,4,11639,145,0.0,0,11639,11784,11577
37924,f,22,13,6,12172,538,0.7026937016374076,1,12172,12710,11849
37925,f,28,7,5,10147,1475,0.4094303410478779,1,10147,11622,11522
37926,m,18,15,6,12273,250,0.7003967560967889,1,12273,12523,13210
37927,f,48,0,3,9696,701,0.005426418180558895,0,9696,10397,9947
37928,f,28,11,3,10430,1460,0.44487981554824096,0,10430,11890,10061
37929,m,18,5,3,8189,281,0.41010312299824314,1,8189,8470,8738
37930,f,45,9,5,11340,972,0.0,0,11340,12312,10928
37931,m,36,0,2,9717,1980,0.10657457535641995,0,9717,11697,9944
37932,m,30,17,5,13381,898,0.2758819604501116,0,13381,14279,12892
37933,m,30,2,6,11800,1423,0.33831247230944006,0,11800,13223,12144
37934,m,30,11,9,13420,885,0.27042594181433643,0,13420,14305,12610
37935,f,41,13,0,4919,387,0.01852133158367997,0,4919,5306,5119
37936,f,43,14,3,8911,1265,0.010799582250542882,0,8911,10176,8296
37937,f,18,4,4,9059,320,0.5382798193714335,0,9059,9379,8687
37938,m,24,9,2,8727,869,0.44442187362757046,1,8727,9596,9745
37939,m,30,10,6,14270,613,0.22816480776271555,0,14270,14883,13196
37940,f,22,10,6,11226,645,0.7107944213432474,1,11226,11871,11988
37941,f,21,11,1,6517,307,0.21668631959579698,0,6517,6824,6427
37942,m,35,17,8,13954,828,0.07199859656213874,0,13954,14782,12764
37943,f,45,6,3,9592,1070,0.034847268510968074,0,9592,10662,10232
37944,m,30,5,8,12129,1323,0.3009874302588415,0,12129,13452,12781
37945,m,27,18,5,12244,1011,0.5098725631886782,0,12244,13255,11960
37946,f,18,20,4,10296,333,0.7266350742838447,0,10296,10629,10626
37947,f,45,21,4,11285,980,0.00668175942244862,0,11285,12265,10594
37948,m,34,10,8,13706,915,0.11905460947581237,0,13706,14621,13970
37949,f,32,10,3,11308,1713,0.24248096055705282,1,11308,13021,13058
37950,m,32,6,4,10430,1869,0.2668449141614644,0,10430,12299,9395
37951,f,40,7,8,12930,1053,0.006342411560788783,0,12930,13983,13202
37952,f,27,8,2,10142,1345,0.4657745267365548,0,10142,11487,10466
37953,m,36,13,4,8992,1884,0.05383042272577231,0,8992,10876,9485
37954,m,27,8,4,10557,1321,0.5076995367067935,1,10557,11878,11867
37955,f,23,5,5,11238,752,0.6729988240429148,1,11238,11990,11704
37956,f,21,1,5,11073,557,0.7353441488384366,1,11073,11630,11335
37957,f,20,20,7,11144,462,0.7351966220782374,1,11144,11606,11306
37958,m,18,10,5,9888,335,0.6544424381366426,0,9888,10223,9697
37959,m,46,11,7,14057,374,0.015487544602346623,0,14057,14431,14185
37960,m,41,0,6,13818,703,0.03573876611377831,0,13818,14521,14337
37961,m,27,3,9,13819,591,0.3277897855927513,1,13819,14410,14442
37962,f,30,13,6,11555,1490,0.3319659499791183,0,11555,13045,11578
37963,m,31,1,6,10821,1740,0.28598461778775025,1,10821,12561,12944
37964,f,36,5,4,11818,1644,0.11289981075098049,1,11818,13462,13462
37965,m,40,10,5,12726,1124,0.04035259743074053,0,12726,13850,12823
37966,m,36,1,8,11340,1791,0.08948314257974431,1,11340,13131,13872
37967,f,19,15,6,9597,408,0.6604626817019678,0,9597,10005,9284
37968,m,27,10,3,9880,1346,0.4564801189288037,0,9880,11226,9357
37969,m,26,7,1,7387,837,0.24461494976337447,0,7387,8224,8119
37970,m,18,10,6,11272,305,0.7619204517094933,1,11272,11577,11574
37971,f,31,8,4,10824,1740,0.2900288195496896,0,10824,12564,10004
37972,m,18,18,3,8967,317,0.5436124337342032,0,8967,9284,8945
37973,m,46,15,9,14459,309,0.01717800518468587,0,14459,14768,14061
37974,m,18,25,5,10144,335,0.6563832648289629,0,10144,10479,9351
37975,m,29,10,2,8720,1468,0.2865357265168748,1,8720,10188,11012
37976,m,43,23,8,13276,734,0.0,0,13276,14010,13067
37977,m,20,5,6,11171,460,0.7194785774616951,1,11171,11631,11848
37978,m,33,17,4,9231,1892,0.16751519329122688,0,9231,11123,8925
37979,m,19,10,5,10874,393,0.7702825766708359,1,10874,11267,11548
37980,m,27,11,5,12245,1010,0.5098206544884272,0,12245,13255,13257
37981,m,23,11,4,10186,820,0.6428737926017635,0,10186,11006,10340
37982,m,36,15,3,9715,1980,0.08454373858044925,0,9715,11695,8800
37983,m,33,11,5,12868,1224,0.16119577155241036,0,12868,14092,12892
37984,f,35,0,4,11877,1634,0.12180547049408738,0,11877,13511,11474
37985,f,30,9,6,13954,709,0.2510084955353418,0,13954,14663,13750
37986,f,23,10,1,9010,781,0.558660252970089,1,9010,9791,9167
37987,m,35,11,5,11835,1648,0.14114504700156424,1,11835,13483,12704
37988,m,33,15,5,10697,1894,0.15850513355858364,0,10697,12591,10949
37989,f,18,9,3,8721,308,0.49781258230859504,1,8721,9029,8867
37990,m,38,6,5,12335,1386,0.06811096651122428,0,12335,13721,12610
37991,f,37,17,0,5279,574,0.0,0,5279,5853,6361
37992,m,40,13,6,11629,1471,0.020734182928068726,0,11629,13100,12284
37993,f,34,10,5,11991,1584,0.16574340985203856,0,11991,13575,11848
37994,f,21,9,3,8698,545,0.5043963749455884,0,8698,9243,8774
37995,f,30,8,5,11514,1501,0.3743580905940874,0,11514,13015,11846
37996,m,18,6,6,11557,292,0.7398979917949042,0,11557,11849,11797
37997,f,36,3,6,12887,1239,0.11998144712109662,0,12887,14126,13092
37998,m,43,14,7,15072,317,0.03341755606459977,0,15072,15389,15586
37999,m,51,14,3,10272,409,0.0033888681989992,0,10272,10681,10419
38000,m,26,7,5,11086,1132,0.5379116138025913,1,11086,12218,13013
38001,f,18,4,2,7543,242,0.35520890391071525,1,7543,7785,8088
38002,f,22,6,4,10244,701,0.6696166412938723,1,10244,10945,10345
38003,m,22,12,7,11891,574,0.7031450959484568,0,11891,12465,11715
38004,m,24,17,4,10665,922,0.6979806797650208,1,10665,11587,11903
38005,f,47,3,6,10315,816,0.021393393986233092,0,10315,11131,9541
38006,f,32,14,5,11521,1655,0.216723950161286,0,11521,13176,11895
38007,f,44,19,4,10852,1161,0.011246239282574559,0,10852,12013,12082
38008,f,39,14,4,9953,1811,0.0,0,9953,11764,9817
38009,m,38,5,3,9710,1884,0.030006785124955887,0,9710,11594,10171
38010,m,35,3,4,11963,1604,0.1500358728179132,0,11963,13567,11567
38011,m,25,9,9,15168,240,0.2627244213174901,0,15168,15408,15196
38012,f,35,19,5,11301,1812,0.1283139320591149,0,11301,13113,12296
38013,m,51,14,5,12079,321,0.006397346570877972,0,12079,12400,12275
38014,f,31,9,3,8567,1623,0.21644046866989844,0,8567,10190,8989
38015,m,34,17,6,12241,1492,0.14513498314499165,0,12241,13733,11998
38016,f,21,7,3,9620,592,0.6231877062148229,1,9620,10212,9915
38017,m,27,7,5,12896,837,0.4396170230528811,1,12896,13733,13487
38018,f,26,9,5,12547,839,0.5030398438590103,0,12547,13386,12956
38019,m,47,3,5,11926,664,0.0004640008302618441,0,11926,12590,12931
38020,m,28,6,2,7870,1156,0.24016403852938412,0,7870,9026,6930
38021,f,32,1,3,11169,1746,0.23531396353874418,0,11169,12915,11735
38022,m,46,5,5,11455,838,0.017808283941586078,0,11455,12293,11753
38023,f,37,29,7,13647,921,0.08049909980815201,1,13647,14568,14502
38024,f,32,15,2,8724,1735,0.19023541114643608,0,8724,10459,8668
38025,m,33,8,8,15604,334,0.08998330948438214,0,15604,15938,16212
38026,m,32,8,4,10335,1878,0.2646328690197288,0,10335,12213,11077
38027,f,41,5,5,12649,1075,0.052565298383059705,0,12649,13724,12714
38028,m,26,17,3,9631,1205,0.4914921137053293,0,9631,10836,9749
38029,m,28,6,10,15320,301,0.1979438094920755,1,15320,15621,15838
38030,f,25,11,5,12879,674,0.5025186698488752,0,12879,13553,13983
38031,m,41,9,5,10020,1601,0.018892657515267672,0,10020,11621,10351
38032,m,42,11,4,10933,1403,0.0,0,10933,12336,10509
38033,m,31,2,4,10049,1811,0.282782211850218,0,10049,11860,9422
38034,f,33,12,6,12886,1216,0.17164129340230722,0,12886,14102,12131
38035,m,46,3,6,13130,544,0.007155936933202285,0,13130,13674,14085
38036,m,37,10,7,12820,1242,0.0567863640105708,0,12820,14062,13489
38037,m,23,18,7,12269,613,0.6583154790351713,1,12269,12882,13655
38038,f,24,14,11,15330,192,0.22243735026347983,0,15330,15522,14854
38039,m,33,11,6,11339,1758,0.2022539854097516,1,11339,13097,13640
38040,f,45,0,4,11255,984,0.004681514652222229,0,11255,12239,11778
38041,m,36,20,7,12495,1395,0.10854620490412058,1,12495,13890,13876
38042,m,25,17,9,14755,302,0.36477241486005063,0,14755,15057,15114
38043,f,42,8,3,8868,1381,0.026364525174779475,0,8868,10249,8882
38044,m,25,14,6,11657,921,0.5821559962191258,1,11657,12578,11314
38045,m,30,19,6,11717,1446,0.35979952375148117,0,11717,13163,11647
38046,f,55,13,3,9389,166,0.018042872967805355,0,9389,9555,9103
38047,m,25,13,6,13407,559,0.46315612496996844,1,13407,13966,15041
38048,f,32,12,3,10707,1835,0.2610437351309895,1,10707,12542,12230
38049,f,34,9,1,7003,1218,0.08162556131957385,0,7003,8221,7226
38050,m,18,6,5,10523,330,0.6749738330715482,1,10523,10853,10989
38051,m,40,11,2,9746,1709,0.03690006633260117,0,9746,11455,10168
38052,m,31,9,7,12066,1419,0.2846581477762583,0,12066,13485,11201
38053,f,34,20,2,8904,1865,0.1264415034131095,0,8904,10769,8112
38054,m,30,9,6,11848,1409,0.3533375987228883,1,11848,13257,12892
38055,m,19,23,5,10877,393,0.7313827124112896,1,10877,11270,12125
38056,f,38,4,5,12547,1308,0.05660099783488898,0,12547,13855,12519
38057,m,43,22,8,13281,733,0.03963561733021792,0,13281,14014,13625
38058,m,19,16,5,11909,334,0.7221339479108277,0,11909,12243,12517
38059,f,31,0,5,13660,850,0.21090480208647505,0,13660,14510,13211
38060,m,41,6,4,11542,1396,0.024832073035750135,0,11542,12938,11842
38061,m,28,6,5,11491,1299,0.40380535642166837,0,11491,12790,11401
38062,m,29,4,7,14083,625,0.2846706111824274,0,14083,14708,13642
38063,m,34,15,3,8999,1886,0.12839244872948305,0,8999,10885,9194
38064,f,28,11,8,15009,360,0.2313473755159869,1,15009,15369,15390
38065,m,34,12,2,8206,1671,0.05385661810255941,0,8206,9877,9269
38066,m,24,0,6,14063,373,0.45582188148473657,0,14063,14436,13179
38067,m,33,5,7,12526,1357,0.2038122153936311,0,12526,13883,12609
38068,m,28,9,5,12163,1131,0.4767392680169424,1,12163,13294,13360
38069,m,32,26,5,10307,1880,0.22394070836129093,1,10307,12187,11824
38070,m,35,9,5,11589,1729,0.13864499150632265,0,11589,13318,11643
38071,m,23,9,2,7457,578,0.28899489051948024,1,7457,8035,7994
38072,m,24,11,4,9242,920,0.5521395993038458,1,9242,10162,9922
38073,f,31,19,2,9888,1811,0.23755914082841192,0,9888,11699,9093
38074,m,18,15,8,11923,271,0.6995666435238148,0,11923,12194,11849
38075,m,25,16,6,11506,946,0.599230246869044,0,11506,12452,10887
38076,f,20,13,6,11087,465,0.7474026296438789,0,11087,11552,10690
38077,f,29,5,7,14068,630,0.24387268089226155,0,14068,14698,13762
38078,m,37,20,7,14159,736,0.06553681327324593,0,14159,14895,14042
38079,m,40,0,4,12143,1318,0.027625936426543724,0,12143,13461,12034
38080,m,44,15,4,10263,1207,0.0,0,10263,11470,9940
38081,m,32,0,7,14359,649,0.1439395730134393,0,14359,15008,13456
